# StartTime = 10-06-2025 10:17:22.1798 PM
Time (sec), Vehicle speed (km/h), Acceleration (g), Total Fuel Economy (l/100 km), Engine Power (hp), Fuel Rate (l/hr), Total CO2 (kg), CO2 flow (g/s), Instant Fuel Economy (l/100 km), Instant CO2 rate (g/km), Mass air flow rate (g/s), Fuel/Air commanded equivalence ratio, Barometric pressure (psi), Support of intake manifold absolute pressure data, Intake manifold absolute pressure A (psi), Boost (psi), Engine RPM (RPM), Engine Torque (N•m), Latitude (deg), Longitude (deg)
18.836,20,0.17888115,26.582909,43.225864,11.933949,11.564961,7.7825823,70.199646,1648.0762,40.87,0.999424,14.213698,1,11.593954,-2.619744,2370.75,147.9748,44.0119,-78.9462
19.210,21,0.14826798,26.587763,49.26495,13.601241,11.568425,8.869886,68.00616,1596.5796,43.68,0.999424,14.213698,1,12.0154705,-2.1982281,2524.25,148.5317,44.01184,-78.94618
19.570,23,0.11801475,26.59259,52.65214,14.536388,11.571836,9.479732,69.22085,1625.0969,47.31,0.999424,14.213698,1,12.427921,-1.7857771,2534.75,160.20891,44.01184,-78.94618
19.931,25,0.15725844,26.597824,57.027763,15.744427,11.57555,10.267539,68.45398,1607.0931,47.3,0.999424,14.213698,1,12.586556,-1.6271421,2160.25,187.94292,44.01184,-78.94618
20.291,26,0.11768695,26.602694,57.01571,15.741098,11.579232,10.265369,62.964348,1478.2131,41.46,0.999424,14.213698,1,12.713464,-1.5002341,2287,155.60802,44.011795,-78.94617
20.657,28,0.11809808,26.60636,49.97614,13.797588,11.58246,8.997932,53.067608,1245.8676,47.42,0.999424,14.213698,1,12.813178,-1.4005207,2369.25,171.79855,44.011795,-78.94617
21.033,30,0.15432966,26.6109,57.16036,15.7810335,11.58618,10.291412,56.360794,1323.1815,40.14,0.999424,14.213698,1,10.451782,-3.7619164,2265.25,152.1003,44.01168,-78.946144
21.408,32,0.14796235,26.613926,48.385002,13.358302,11.589454,8.711457,44.52764,1045.3749,27.67,0.999424,14.358736,1,8.6841345,-5.6746016,2203,107.811104,44.01168,-78.946144
21.784,32,0.07260726,26.614334,33.35359,9.208376,11.591798,6.005132,28.776155,675.5774,13.95,0.999424,14.358736,1,4.895024,-9.463713,2142,55.901516,44.01168,-78.946144
22.151,32,6.790355E-17,26.612146,16.815416,4.6424594,11.592931,3.0275242,14.507674,340.59647,9.69,0.999424,14.358736,1,3.9296162,-10.42912,2145.5,38.76717,44.01161,-78.94612
22.512,32,6.790355E-17,26.609316,11.680386,3.224762,11.593691,2.10299,10.0773735,236.58636,7.64,0.999424,14.358736,1,3.5851517,-10.773584,2124,30.875051,44.01161,-78.94612
22.871,32,6.790355E-17,26.606056,9.209303,2.542537,11.594285,1.658085,7.9454217,186.53456,7.74,0.999424,14.358736,1,3.3404005,-11.018335,1993.75,33.322617,44.01161,-78.94612
